image_name,target
ISIC_0052060,0.00011484364
ISIC_0052349,5.423284e-06
ISIC_0058510,0.0002899598
ISIC_0073313,0.0006374296
ISIC_0073502,0.005137881
ISIC_0074618,0.01612958
ISIC_0076801,0.00055760413
ISIC_0077586,0.035050806
ISIC_0082004,0.20663084
ISIC_0082785,0.002769336
ISIC_0085332,0.0050243195
ISIC_0087243,0.0002535552
ISIC_0088167,0.024580952
ISIC_0089356,0.00043662084
ISIC_0090283,0.0070280596
ISIC_0092481,4.1252674e-06
ISIC_0095455,8.576858e-06
ISIC_0095790,1.1332623e-05
ISIC_0097719,0.02651509
ISIC_0099348,0.073380284
ISIC_0101040,0.015375316
ISIC_0101383,6.1024788e-05
ISIC_0105104,0.0065685045
ISIC_0108196,0.0010244304
ISIC_0112420,0.04208176
ISIC_0114232,0.00058383105
ISIC_0115798,5.3165077e-06
ISIC_0116844,5.9068007e-05
ISIC_0126432,0.0008364828
ISIC_0131485,4.7144953e-05
ISIC_0131912,0.00037020125
ISIC_0131978,4.996506e-05
ISIC_0139322,0.0029208073
ISIC_0142066,0.17819442
ISIC_0143109,0.029112143
ISIC_0148210,0.00035402822
ISIC_0148937,0.00047356982
ISIC_0150213,0.0018318868
ISIC_0152553,0.00081132
ISIC_0153127,0.0014080965
ISIC_0154289,0.0009146672
ISIC_0155813,0.036384508
ISIC_0155983,0.22680618
ISIC_0157088,1.718015e-05
ISIC_0158761,0.0028561116
ISIC_0161963,0.051389202
ISIC_0165178,0.035599682
ISIC_0165230,2.943973e-05
ISIC_0165615,0.0007834284
ISIC_0165617,0.20592001
ISIC_0165674,0.000111668094
ISIC_0165928,0.0016955555
ISIC_0166561,5.0863342e-05
ISIC_0168125,9.070183e-05
ISIC_0169378,0.00692662
ISIC_0169575,0.0002507281
ISIC_0169906,0.02934614
ISIC_0171865,0.02424891
ISIC_0172678,0.000642458
ISIC_0174800,2.4881352e-05
ISIC_0175014,1.0106813e-05
ISIC_0175798,0.05493232
ISIC_0176152,0.00091201445
ISIC_0177083,0.0005855118
ISIC_0178235,0.00470985
ISIC_0178258,0.00061427866
ISIC_0178428,0.049103264
ISIC_0178741,0.0007188157
ISIC_0180057,0.00015750623
ISIC_0182213,0.052777965
ISIC_0183334,0.0026163121
ISIC_0183449,0.026832962
ISIC_0183658,4.3125983e-06
ISIC_0183771,0.0044195787
ISIC_0186715,0.002881877
ISIC_0187786,0.00015896192
ISIC_0188485,0.00016327496
ISIC_0191895,0.0010143279
ISIC_0192184,0.0026466236
ISIC_0192807,0.0010724697
ISIC_0193289,0.0019373094
ISIC_0194115,0.01644712
ISIC_0195744,0.0031199106
ISIC_0195995,3.6888498e-05
ISIC_0196159,0.006611549
ISIC_0196622,0.00028473098
ISIC_0196807,0.017421903
ISIC_0197182,0.10840874
ISIC_0197440,0.0030863069
ISIC_0197860,0.00039710125
ISIC_0198376,0.0013642682
ISIC_0198622,7.111686e-05
ISIC_0199195,0.07173224
ISIC_0199718,9.663476e-05
ISIC_0199780,9.351688e-05
ISIC_0200120,0.021183176
ISIC_0204399,8.226881e-07
ISIC_0204875,9.422775e-06
ISIC_0205627,0.00022808505
ISIC_0206261,0.093153656
ISIC_0206934,0.002858874
ISIC_0207197,0.001176983
ISIC_0208233,0.06345779
ISIC_0209640,6.962748e-06
ISIC_0210915,0.0012533732
ISIC_0212435,3.692028e-05
ISIC_0212468,0.00033255926
ISIC_0213848,0.00061693304
ISIC_0216203,0.00013237644
ISIC_0216447,0.018807286
ISIC_0220438,0.008295596
ISIC_0220466,0.03086417
ISIC_0223354,9.664094e-05
ISIC_0223463,0.0064704325
ISIC_0223760,0.0005580811
ISIC_0224309,0.0035793518
ISIC_0225471,0.011386701
ISIC_0225894,0.0001646572
ISIC_0226234,0.00018145112
ISIC_0227767,4.7680805e-06
ISIC_0228452,0.00015064595
ISIC_0229266,0.008072611
ISIC_0230247,8.5039894e-05
ISIC_0230499,0.8783489
ISIC_0231539,0.0001256278
ISIC_0231788,0.009630868
ISIC_0232763,0.006533084
ISIC_0235107,0.008217221
ISIC_0235501,0.021507544
ISIC_0235505,0.05291966
ISIC_0235542,0.03294235
ISIC_0238185,1.5388777e-06
ISIC_0238872,0.09385751
ISIC_0239635,0.18996185
ISIC_0240839,1.1876534e-06
